district,state,households_surveyed,women_interviewed,men_interviewed,female_school_attendance,pop_below_15," Sex ratio of the total population (females per 1,000 males)","Sex ratio at birth for children born in the last five years (females per 1,000 males)",Children under age 5 years whose birth was registered with the civil authority (%),Deaths in the last 3 years registered with the civil authority (%),electricity_pct,clean_water_pct,sanitation_pct,clean_fuel_pct,Households using iodized salt (%),health_insurance_pct,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),women_literacy_pct,Women (age 15-49)  with 10 or more years of schooling (%),child_marriage_pct,Births in the 5 years preceding the survey that are third or higher order (%),teen_pregnancy_pct,Women age 15-24 years who use hygienic methods of protection during their menstrual period5 (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Any method6 (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Any modern method6 (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Female sterilization (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Male sterilization (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - IUD/PPIUD (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Pill (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Condom (%),Current Use of Family Planning Methods (Currently Married Women Age 15-49  years) - Injectables (%),Total Unmet need for Family Planning (Currently Married Women Age 15-49  years)7 (%),Unmet need for spacing (Currently Married Women Age 15-49  years)7 (%),Health worker ever talked to female non-users about family planning (%),Current users ever told about side effects of current method of family planning8 (%),Mothers who had an antenatal check-up in the first trimester  (for last birth in the 5 years before the survey) (%),antenatal_4visits_pct,Mothers whose last birth was protected against neonatal tetanus (for last birth in the 5 years before the survey)9 (%),Mothers who consumed iron folic acid for 100 days or more when they were pregnant (for last birth in the 5 years before the survey) (%),Mothers who consumed iron folic acid for 180 days or more when they were pregnant (for last birth in the 5 years before the survey} (%),Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (for last birth in the 5 years before the survey) (%),Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (for last birth in the 5 years before the survey) (%),Average out-of-pocket expenditure per delivery in a public health facility (for last birth in the 5 years before the survey) (Rs.),Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/ other health personnel within 2 days of delivery (for last birth in the 5 years before the survey) (%),institutional_births_pct,Institutional births in public facility (in the 5 years before the survey) (%),Home births that were conducted by skilled health personnel  (in the 5 years before the survey)10 (%),Births attended by skilled health personnel (in the 5 years before the survey)10 (%),Births delivered by caesarean section (in the 5 years before the survey) (%),Births in a private health facility that were delivered by caesarean section (in the 5 years before the survey) (%),Births in a public health facility that were delivered by caesarean section (in the 5 years before the survey) (%),Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%),Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%),Children age 12-23 months who have received BCG (%),Children age 12-23 months who have received 3 doses of polio vaccine13 (%),Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%),Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),Children age 9-35 months who received a vitamin A dose in the last 6 months (%),Children age 12-23 months who received most of their vaccinations in a public health facility (%),Children age 12-23 months who received most of their vaccinations in a private health facility (%),Prevalence of diarrhoea in the 2 weeks preceding the survey (Children under age 5 years) (%) ,Children Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (Children under age 5 years) (%) ,Children under age 3 years breastfed within one hour of birth15 (%),"Breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)","Total children age 6-23 months receiving an adequate diet16, 17  (%)",stunting_pct,wasting_pct,Children under 5 years who are severely wasted (weight-for-height)19 (%),underweight_pct,Children under 5 years who are overweight (weight-for-height)20 (%),Women (age 15-49 years) whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%),Women (age 15-49 years) who are overweight or obese (BMI ≥25.0 kg/m2)21 (%),Women (age 15-49 years) who have high risk waist-to-hip ratio (≥0.85) (%),child_anaemia_pct,women_anaemia_pct,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%),all_women_anaemia_pct,All women age 15-19 years who are anaemic22 (%) ,Women  age 15 years and above with high (141-160 mg/dl) Blood sugar level23 (%),Women age 15 years and above wih very high (>160 mg/dl) Blood sugar level23 (%),Women age 15 years and above wih high or very high (>140 mg/dl) Blood sugar level or taking medicine to control blood sugar level23 (%),Men age 15 years and above wih high (141-160 mg/dl) Blood sugar level23 (%),Men (age 15 years and above wih  very high (>160 mg/dl) Blood sugar level23 (%),Men age 15 years and above wih high or very high (>140 mg/dl) Blood sugar level  or taking medicine to control blood sugar level23 (%),Women age 15 years and above wih Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Women age 15 years and above wih Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),Women age 15 years and above wih Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),Men age 15 years and above wih Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Men age 15 years and above wih Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),Men age 15 years and above wih Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),Women (age 30-49 years) Ever undergone a screening test for cervical cancer (%),Women (age 30-49 years) Ever undergone a breast examination for breast cancer (%),Women (age 30-49 years) Ever undergone an oral cavity examination for oral cancer (%),women_tobacco_pct,men_tobacco_pct,women_alcohol_pct,men_alcohol_pct
Nicobars,Andaman & Nicobar Islands,882,764,125,78.01,22.98,973.31,927.41,98.01,83.22,97.9,98.81,83.45,56.93,99.42,2.65,-29.45,87.54,53.53,11.36,0.0,1.77,100.0,65.3,57.24,46.36,0.0,2.72,2.0,4.92,1.24,9.53,3.3,40.42,49.39,62.77,71.65,78.01,72.57,43.91,97.86,85.09,2278.2,92.53,97.81,96.65,0.79,98.6,11.52,39.56,10.72,-64.21,-94.08,-80.38,-69.08,-71.87,-67.32,-20.67,-3.08,-68.61,94.92,-100.0,-0.01,5.65,1.75,55.43,-19.37,-18.71,21.59,15.69,7.76,24.6,1.49,8.18,39.11,62.51,37.67,38.36,-43.34,38.3,47.98,7.44,3.88,13.05,9.62,4.36,15.39,23.24,8.45,35.36,32.86,11.06,46.97,13.35,13.16,5.37,63.46,76.79,29.59,64.49
North & Middle Andaman ,Andaman & Nicobar Islands,874,789,108,82.66,19.82,949.82,844.43,100.0,-92.55,93.24,92.2,86.38,61.25,99.86,2.07,-30.06,84.01,41.03,15.38,1.5,3.83,100.0,84.09,73.11,48.34,0.58,6.43,7.84,9.29,0.0,5.78,1.33,23.19,83.17,74.46,79.19,91.11,83.65,24.08,99.23,92.53,1903.71,94.28,97.7,95.01,0.7,98.33,12.91,39.56,11.43,68.58000000000001,66.06,92.52,73.14500000000001,80.72,82.19,23.525,5.54,77.60499999999999,-89.58,93.65,0.0,4.54,6.98,27.32,-6.46,-5.92,27.02,26.97,8.31,42.8,0.83,8.55,35.89,79.33,30.38,62.46,-43.34,62.07,47.82,7.19,6.4,16.72,9.09,6.94,18.28,18.35,3.98,27.4,22.62,5.97,32.2,1.7,0.25,15.84,46.77,70.47,5.08,45.26
South Andaman ,Andaman & Nicobar Islands,868,844,134,84.68,20.95,967.48,934.92,96.53,92.21,99.58,97.94,89.33,91.92,99.67,1.15,-50.82,86.67,57.5,17.06,0.51,2.81,98.19,57.13,50.5,34.02,0.0,2.82,1.75,10.57,0.29,17.6,8.64,31.18,88.17,79.4,85.94,92.05,80.96,61.93,98.91,88.13,3460.04,89.75,99.46,83.83,0.0,96.86,37.14,-79.13,29.55,-76.29,-96.57,-100.0,-79.0,-94.75,-81.74,-33.66,-0.01,-85.27,83.96,-93.11,-4.33,5.99,0.0,51.13,-22.34,23.49,21.11,12.62,3.46,17.43,7.21,10.0,39.01,78.15,43.35,57.6,-43.34,57.66,43.17,7.51,9.45,18.41,9.28,7.79,18.1,12.7,4.86,22.95,17.88,6.09,26.9,1.32,0.67,8.0,19.6,50.76,1.72,32.81
Srikakulam ,Andhra Pradesh,874,780,100,59.99,20.71,1139.51,1162.58,94.96,71.03,99.91,87.73,71.58,74.7,76.54,75.63,-0.01,64.32,42.51,25.4,0.0,5.46,77.95,72.33,72.18,71.03,0.34,0.55,0.0,0.26,0.0,5.69,3.6,16.01,45.75,79.69,78.41,94.43,67.5,35.34,100.0,90.81,3479.24,97.71,97.94,52.2,0.47,96.38,56.98,73.77,44.52,-82.79,-100.0,-93.25,-82.79,-89.65,-93.25,-34.88,-74.8,-89.65,69.56,-97.01,-2.99,11.9,1.3,42.77,-13.98,16.14,19.66,19.51,7.36,21.44,4.48,13.76,27.18,53.98,59.61,62.82,-43.34,62.59,59.19,8.24,7.81,17.44,6.78,8.61,17.57,12.75,5.85,22.12,14.37,5.51,22.89,1.04,0.23,3.76,7.09,21.32,0.55,28.26
Vizianagaram ,Andhra Pradesh,902,853,134,55.95,20.56,1114.35,898.03,95.42,81.7,99.52,93.1,61.74,60.3,84.96,76.69,-25.17,58.32,37.63,33.72,2.2,12.74,72.52,71.18,71.18,69.27,1.29,0.0,0.0,0.63,0.0,6.68,4.74,21.1,36.37,76.08,71.35,91.27,59.62,32.42,98.75,83.89,1930.67,89.19,99.01,70.64,0.46,97.61,41.3,70.25,30.25,-76.75,66.06,-100.0,-76.75,-90.31,-92.52,-34.96,-77.29,-83.57,85.86,-100.0,-0.01,7.51,1.39,55.64,-2.47,1.75,36.4,19.23,8.34,32.21,4.65,16.85,28.82,57.97,66.74,64.64,-43.34,64.04,73.88,6.23,7.0,14.26,5.81,7.51,14.47,12.93,6.6,25.2,14.83,6.43,25.13,4.9,0.63,7.33,11.41,21.47,0.8,32.3
Visakhapatnam ,Andhra Pradesh,869,818,112,66.76,21.35,1066.43,974.03,90.52,71.28,99.57,91.78,77.77,72.87,82.17,64.92,-5.02,69.54,45.98,25.41,0.0,9.5,85.72,68.02,67.68,64.93,1.46,0.33,0.0,0.78,0.0,4.79,2.37,15.2,35.3,79.44,58.59,88.03,74.99,40.11,97.04,84.78,2200.41,90.88,95.25,69.33,0.0,94.35,26.47,57.23,16.78,-76.49,-93.52,-97.91,-76.49,-90.48,-95.14,-45.08,-72.89,-79.63,91.26,-83.81,-9.71,8.12,1.95,64.27,-6.94,11.84,30.96,21.53,11.2,33.53,4.79,17.44,23.79,57.97,72.61,58.61,-43.34,58.02,58.93,6.14,8.55,16.97,7.34,8.49,18.2,12.12,5.94,23.91,17.01,7.04,29.16,1.72,0.73,4.07,6.34,22.75,1.32,30.23
East Godavari ,Andhra Pradesh,888,824,105,75.39,20.45,995.49,881.88,92.97,68.2,98.82,97.88,77.73,80.34,81.21,66.36,-11.21,77.87,43.21,25.99,1.31,6.22,70.97,66.34,66.34,64.08,0.85,0.08,0.25,1.08,0.0,7.96,4.39,12.46,32.43,76.33,50.95,86.96,62.66,32.25,91.43,91.88,8159.35,93.49,96.63,45.99,2.17,89.85,52.15,71.99,34.11,-58.95,-67.31,-92.69,-66.28,-83.87,-76.74,-32.54,-77.81,-86.68,81.4,-85.34,-7.48,13.32,2.24,51.28,-2.99,10.21,23.11,14.33,3.83,22.35,3.42,10.2,44.36,49.16,66.76,63.24,-43.34,62.96,65.17,7.46,12.73,21.71,9.15,15.49,27.56,12.98,6.56,29.01,17.32,7.34,32.19,1.94,1.02,4.79,3.16,25.5,0.72,25.89
West Godavari ,Andhra Pradesh,884,841,122,75.4,21.48,998.55,832.54,93.51,90.08,99.34,99.07,80.78,86.83,83.39,67.57,-2.69,76.97,46.47,22.09,0.54,13.35,84.44,77.82,77.24,74.49,0.65,0.59,0.4,0.59,0.35,2.95,1.78,12.49,28.77,82.21,62.73,95.34,82.81,43.65,100.0,94.75,2317.64,96.37,98.7,48.76,0.73,98.47,55.66,71.97,40.44,-80.04,-86.98,-94.78,-80.04,-89.0,-91.66,-26.28,-77.66,-89.0,73.88,-100.0,-0.01,2.71,1.03,32.79,-4.9,3.48,31.44,11.71,4.65,22.45,5.24,10.11,45.34,51.57,62.34,63.08,-43.34,63.04,66.83,7.29,13.14,23.83,7.18,10.36,18.93,14.69,6.06,28.84,17.72,8.67,31.42,7.06,1.77,13.05,2.24,21.8,0.15,23.56
Krishna ,Andhra Pradesh,865,820,119,74.02,20.44,1063.63,1139.25,96.41,86.32,99.55,94.38,79.14,89.82,87.53,68.08,-15.07,76.85,46.17,25.32,0.0,9.6,92.59,79.09,78.1,76.49,1.03,0.0,0.0,0.44,0.0,2.49,1.36,16.09,27.66,81.49,73.3,95.84,56.2,39.2,96.42,88.33,3715.49,90.28,98.93,40.09,0.47,98.03,66.07,79.65,47.9,-89.96,-97.19,-93.85,-89.96,-93.85,-89.96,-33.79,-62.13,-93.85,80.95,-100.0,-0.01,7.81,2.43,29.31,-26.05,-23.41,29.84,14.25,5.21,21.13,4.23,10.47,40.56,53.46,65.7,60.43,-43.34,60.32,59.01,7.89,13.38,23.32,8.45,11.86,22.54,13.41,4.29,24.02,18.58,5.07,28.46,5.36,2.12,12.34,1.37,21.31,0.35,22.76
Guntur ,Andhra Pradesh,851,807,93,64.88,22.41,1055.16,941.42,92.34,82.51,99.19,99.25,83.44,91.65,85.83,71.08,-7.6,68.48,32.61,35.37,1.0,20.7,87.97,73.33,73.17,72.85,0.0,0.19,0.0,0.13,0.0,3.23,1.72,16.59,28.22,89.41,62.47,90.25,75.13,42.49,96.04,93.99,3912.24,97.19,98.61,49.55,0.94,95.54,53.75,72.15,37.04,-76.17,-100.0,-97.61,-76.17,-97.61,-92.49,-39.61,-87.83,-97.61,80.16,-97.44,-2.56,10.04,0.98,69.28,-8.62,11.19,23.82,17.81,8.07,26.88,3.61,9.61,46.39,53.38,59.28,59.82,-51.94,59.51,54.63,7.75,13.01,22.69,10.66,13.44,25.89,14.66,5.94,25.83,18.03,8.51,31.31,6.47,0.2,14.64,1.6,25.39,0.17,24.51
